Opskrift ID;Opskrift Titel;Raavare ID;Ingrediens Navn;Ny Mængde;Ny Enhed
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_ris;Ris;;
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_bouillon;Bouillon;3;dl
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_extra_4;Gulerødder;400;g
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_extra_43;Salt;;
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_extra_29;Hvedemel;1;spsk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_tomatsovs;Hakkede Tomater;2;stk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_loeg;Løg;1;stk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_extra_1;Tomater (Danske);2;stk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_tomat;Friske Tomater;2;stk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_bacon;Bacon i tern;400;g
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;;Kalvebov;600;g
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;;Timian;1;tsk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;;Bladsselleri;1;stilk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_meny_auto_2;stilke bladselleri i mindre stykker;4;stk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_meny_auto_3;dåse koncentreret tomatpuré;1;stk
meny_R3VsbGFzY2ggbWV;Gullasch med gulerødder;ing_meny_auto_4;rødvin;2;dl
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_extra_31;Olivenolie;2;spsk
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_extra_43;Salt;;
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_pasta;Pasta;500;g
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_frisk_pasta;Frisk Pasta;500;g
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_kapers;Kapers;2;spsk
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_extra_1;Tomater (Danske);500;g
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_extra_6;Citroner;1;stk
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_tomatsovs;Hakkede Tomater;125;gram
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_persille;Frisk Persille;1;dl
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_tomat;Friske Tomater;500;g
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_extra_21;Torskefileter;150;gram
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_laks;Fersk Laks;150;gram
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_meny_auto_5;laksefileter;600;g
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_meny_auto_6;citronskal  af 1 citron;;
meny_TGFrcyBtZWQgcGF;Laks med pasta og langtidsbagte tomater, persille og kapers;ing_meny_auto_7;revet parmigiano reggiano;;
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_extra_43;Salt;0.5;tsk
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_maelk;Mælk;3;dl
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_extra_9;Frisk Spinat;200;g
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_extra_17;Skinketern;50;gram
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_skinke;Kogt Skinke;200;g
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;;Æg ;6;stk
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;;Mozarella ost (revet);0,38;dl
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;;Timian;1;spsk
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;;Fuldkorns tærtedej;1;pakke
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;;Hvidløg;2;fed
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;;Rødløg;3;stk
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_meny_auto_8;olivenolie;1;spsk
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_meny_auto_9;revet mozzarellaost;1.5;dl
meny_1781947919149;Tærte med rødløg, spinat, skinke og timian;ing_meny_auto_10;friskkværnet peber;0.5;tsk
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_extra_3;Kartofler;500;g
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_extra_31;Olivenolie;5;spsk
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_extra_43;Salt;0.5;tsk
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_nye_kartofler;Nye kartofler;500;g
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_extra_6;Citroner;;
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_extra_8;Iceberg Salat;;
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_persille;Frisk Persille;1;stk
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_salat_mix;Blandet salat;;
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_salatblanding;Skåret Salatblanding;;
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_11;agurker;2;stk
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_12;røde og gule cherrytomater;300;g
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_13;lille rødløg;1;stk
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_14;frisk dild;1;bundt
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_15;feta i tern;150;g
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_16;kalamataoliven;75;g
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_17;citronsaft;0.5;stk
meny_R3LDpnNrIHNhbGF;Græsk salat med nye kartofler;ing_meny_auto_18;sort peber;0.5;tsk
meny_U2xpZGVycyBtZWQ;Sliders med torpedorejer og avocadocoleslaw;ing_hvidkaal;Hvidkål;200;g
meny_U2xpZGVycyBtZWQ;Sliders med torpedorejer og avocadocoleslaw;ing_extra_4;Gulerødder;150;g
meny_U2xpZGVycyBtZWQ;Sliders med torpedorejer og avocadocoleslaw;ing_extra_43;Salt;;
meny_U2xpZGVycyBtZWQ;Sliders med torpedorejer og avocadocoleslaw;ing_avocado;Avocado;2;stk
meny_U2xpZGVycyBtZWQ;Sliders med torpedorejer og avocadocoleslaw;ing_mayonnaise;Mayonnaise;4;spsk
meny_U2xpZGVycyBtZWQ;Sliders med torpedorejer og avocadocoleslaw;ing_frisk_chili;Frisk Chili;1;stk
meny_U2xpZGVycyBtZWQ;Sliders med torpedorejer og avocadocoleslaw;ing_koriander;Frisk Koriander;1;stk
